Headline,Source,Issue date,URL,Summary
"ESTEE LAUDER INVESTIGATION INITIATED BY FORMER LOUISIANA ATTORNEY GENERAL: Kahn Swick & Foti, LLC Investigates the Officers and Directors of Estee Lauder Companies Inc. - EL",Finnhub,2025-05-02 22:51:07,https://finnhub.io/api/news?id=b7ff4b3fddfbf116f7e306deae13e4a87a9c03eff5b41b21e519b51a40edd833,"NEW YORK and NEW ORLEANS, May 2, 2025 /PRNewswire/ -- Former Attorney General of Louisiana, Charles C. Foti, Jr., Esq., a partner at the law firm of Kahn Swick & Foti, LLC , announces that KSF has..."
"Estée Lauder's Beauty Gains Can't Offset Global Headwinds, Says Analyst",Yahoo,2025-05-02 20:46:32,https://finnhub.io/api/news?id=b4b1f49a355bd382420c1a85456546a6d897620a2a3937efa77a1c9d4820883e,"Telsey Advisory Group analyst Dana Telsey reiterated a Market Perform rating on the shares of Estée Lauder Companies Inc (NYSE:EL) and lowered the price forecast from $76.00 to $66.00. Estée Lauder delivered a strong third-quarter earnings beat, driven by improved margins and cost control, with sales at the upper end of guidance. The company updated its FY25 outlook in line with prior estimates, though fourth-quarter EPS guidance came in below expectations. While its recovery plan is yielding po"
"Estée Lauder Opens Skin Longevity Institute at Hacienda AltaGracia, Auberge Resorts Collection",Yahoo,2025-05-02 13:30:00,https://finnhub.io/api/news?id=7d4a823e3d6299d4bc3ca7d75a2c73f30ca417e24bdc72369d2aeee819c87bba,"NEW YORK, May 02, 2025--Estée Lauder announces an exclusive partnership with Hacienda AltaGracia, Auberge Resorts Collection in Costa Rica, debuting its first Skin Longevity Institute in the Americas within the resort’s world-renowned Casa de Agua Spa. Located adjacent to one of the world’s five ""Blue Zones,"" regions recognized for their high concentration of centenarians, Hacienda AltaGracia offers a transformative journey grounded in trusted longevity practices. The experience-led programming"
The Estee Lauder Companies Reports Fiscal 2025 Third Quarter Results,Finnhub,2025-05-02 11:04:19,https://finnhub.io/api/news?id=3b6d1b378c78763c956a83543b13533ed684f9140de0218ba20cbaa69bec2e54,"NEW YORK- The Estee Lauder Companies Inc. today reported its financial results for the third quarter ended March 31, 2025.Stephane de La Faverie, President and Chief Executive Officer, said, 'In the..."
The Estee Lauder Companies Inc (EL) Q3 2025 Earnings Call Highlights: Strategic Gains Amidst ...,Yahoo,2025-05-02 07:05:22,https://finnhub.io/api/news?id=d5b63d276895fb5e8c8a44bc6ba4ceb459ff2186eade0fe1431f4b238a98d1bb,"Estee Lauder reports market share growth and operational efficiencies, despite facing sales declines and geopolitical uncertainties."
"Stocks to Watch Recap: Amazon, Apple, McDonald’s, Kohl’s",Yahoo,2025-05-01 20:40:34,https://finnhub.io/api/news?id=db77d77b5f3a535ec905a678d3b542e632f90c54203560e7f2340b2f2ac475b3,"? After-Hours Earnings: Amazon.com (AMZN) shares fell about 4% despite the tech giant posting strong results. Apple (AAPL) stock slipped 1.4% after its earnings release. Earlier, a judge ruled the iPhone maker violated an antitrust ruling related to App Store restrictions."
Estée Lauder Companies (NYSE:EL) Reports Earnings Drop And Guidance Amid R&D Leadership Change,Yahoo,2025-05-01 17:55:17,https://finnhub.io/api/news?id=e733d9efa445e2ecfe8468b41cc16017536a2cefa271082e2500149de5a87e1e,"Estée Lauder Companies (NYSE:EL) announced a quarterly dividend and released new corporate guidance recently. Meanwhile, global indices, including the S&P 500 and Dow, witnessed positive momentum due to robust earnings from tech giants like Microsoft and Meta. While the broader market experienced a 2.7% rise, Estée Lauder's 4.72% price increase amidst less favorable earnings could reflect investor interest buoyed by dividend affirmation, despite the challenging sales outlook. The continuation..."
"EL Q3 Earnings Beat Estimates, Sales Down Amid China Weakness",Yahoo,2025-05-01 15:55:00,https://finnhub.io/api/news?id=fb4feef765860088f2065d828184fc620a92f8b74ad98c590d4b77de6df34510,The Estee Lauder Companies' fiscal Q3 results reflect lower earnings and sales amid challenges in China and lower demand across the Americas.
Estée Lauder Says Tariffs Are Hurting Consumer Confidence in China,Yahoo,2025-05-01 15:38:09,https://finnhub.io/api/news?id=9fe876ae7df5e605ff9ca94135f3fc0171a190887be6c140b9d9165eff4d9fb7,"Estée Lauder executives said they are streamlining operations so the cosmetics giant can return to growth in 2026, but weaker demand in China could weigh on it. “Tariffs are having an impact on consumer confidence” in China, Estée Lauder Chief Executive Stéphane de La Faverie told investors and analysts Thursday."
"Wayfair beats, Estee Lauder outlook, Moderna: Trending Tickers",Yahoo,2025-05-01 15:20:45,https://finnhub.io/api/news?id=d605a8368cec604a509127855348b8bd8632862212136ef0d6f21d79bc17b309,"Wayfair (W) stock gains after reporting a surprise earnings beat, with the company saying its business model should minimize tariff impacts. Estee Lauder (EL) warns of a slowdown in sales in 2025 but expects a return to growth in 2026, assuming there is more clarity on Trump's tariff policies. Moderna (MRNA) announces plans to cut $1.5 billion after reporting a 35% drop in revenue from the year-ago period. To watch more expert insights and analysis on the latest market action, check out more Wealth here."
